단어,형태소,빈도수,확률
친구,Noun,60,1.012
그대로,Noun,60,1.012
신한,Noun,60,1.012
홈페이지,Noun,59,1.0118
미리,Noun,59,1.0118
목소리,Noun,59,1.0118
기관,Noun,59,1.0118
나이,Noun,59,1.0118
자동,Noun,59,1.0118
소리,Noun,59,1.0118
지인,Noun,59,1.0118
적도,Noun,59,1.0118
분도,Noun,59,1.0118
환급,Noun,58,1.0116
작년,Noun,58,1.0116
시오,Noun,58,1.0116
광주,Noun,58,1.0116
원금,Noun,58,1.0116
음성,Noun,58,1.0116
무고,Noun,58,1.0116
사과,Noun,58,1.0116
보이시,Noun,57,1.0114
크게,Noun,57,1.0114
아무,Noun,57,1.0114
부서,Noun,57,1.0114
각각,Noun,57,1.0114
중인,Noun,57,1.0114
주변,Noun,57,1.0114
버튼,Noun,56,1.0112
체크카드,Noun,56,1.0112
계세,Noun,56,1.0112
복구,Noun,56,1.0112
절대,Noun,55,1.011
시작,Noun,55,1.011
아이디,Noun,55,1.011
관계,Noun,55,1.011
당일,Noun,55,1.011
피의자,Noun,55,1.011
중고나라,Noun,55,1.011
녹음,Noun,54,1.0108
수고,Noun,53,1.0106
실명,Noun,53,1.0106
변제,Noun,53,1.0106
계약,Noun,52,1.0104
소요,Noun,52,1.0104
가야,Noun,52,1.0104
카카오,Noun,52,1.0104
오후,Noun,52,1.0104
지갑,Noun,52,1.0104
주의,Noun,51,1.0102
가담,Noun,51,1.0102
영업,Noun,51,1.0102
사업,Noun,51,1.0102
법원,Noun,51,1.0102
남아,Noun,51,1.0102
보상,Noun,51,1.0102
해결,Noun,51,1.0102
상관,Noun,51,1.0102
주로,Noun,51,1.0102
여섯,Noun,50,1.01
지난,Noun,50,1.01
스마트폰,Noun,50,1.01
데이터,Noun,50,1.01
실질,Noun,50,1.01
무조건,Noun,50,1.01
파일,Noun,49,1.0098
되게,Adverb,49,1.0098
